2025-01-17 08:59:29.9242 Info Application Start
2025-01-17 09:14:01.0627 Trace Executed Controller: MainOrder, Action: EditOrderState
2025-01-17 09:14:24.8749 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:14:24.8769 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:14:24.9946 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:14:24.9946 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:16:22.9251 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:16:22.9251 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:16:23.2297 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:16:23.2417 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:16:26.2089 Trace Executing Controller: MainOrder, Action: EditOrderState
2025-01-17 09:16:30.6198 Trace Executed Controller: MainOrder, Action: EditOrderState
2025-01-17 09:33:22.3957 Info Application Start
2025-01-17 09:33:23.9806 Trace Executing Controller: MainHome, Action: Index
2025-01-17 09:33:23.9905 Trace Executed Controller: MainHome, Action: Index
2025-01-17 09:33:24.0564 Trace Executing Controller: Login, Action: Index
2025-01-17 09:33:24.0743 Trace Executed Controller: Login, Action: Index
2025-01-17 09:35:14.7674 Trace Executing Controller: Login, Action: SubmitUserLogin
2025-01-17 09:35:15.0669 Trace Executed Controller: Login, Action: SubmitUserLogin
2025-01-17 09:35:15.1222 Trace Executing Controller: MainHome, Action: Index
2025-01-17 09:35:15.1302 Trace Executed Controller: MainHome, Action: Index
2025-01-17 09:35:17.6040 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:35:17.6040 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:35:18.3327 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:35:18.3327 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:35:18.4654 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:35:18.5013 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:35:22.3106 Trace Executing Controller: MainOrder, Action: EditOrderState
2025-01-17 09:35:22.3255 Trace Executed Controller: MainOrder, Action: EditOrderState
2025-01-17 09:35:22.3365 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:35:22.3365 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:35:22.4761 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:35:22.4761 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:36:34.1363 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:36:34.1363 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:36:34.3996 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:36:34.4185 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:37:24.4017 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:37:24.4017 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:37:24.6081 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:37:24.6271 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:37:30.4185 Trace Executing Controller: MainOrder, Action: EditOrderState
2025-01-17 09:37:39.9400 Error System.Data.SqlClient.SqlException: ROLLBACK TRANSACTION 要求沒有對應的 BEGIN TRANSACTION。
2025-01-17 09:37:40.0114 Error System.Data.SqlClient.SqlException: ROLLBACK TRANSACTION 要求沒有對應的 BEGIN TRANSACTION。
2025-01-17 09:37:40.0114 Trace Executed Controller: MainOrder, Action: EditOrderState
2025-01-17 09:39:02.5588 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:39:02.5588 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:39:02.7213 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:39:02.7393 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:39:51.9644 Trace Executing Controller: MainOrder, Action: EditOrderState
2025-01-17 09:41:20.0513 Error System.Data.SqlClient.SqlException: ROLLBACK TRANSACTION 要求沒有對應的 BEGIN TRANSACTION。
2025-01-17 09:41:20.2558 Error System.Data.SqlClient.SqlException: ROLLBACK TRANSACTION 要求沒有對應的 BEGIN TRANSACTION。
2025-01-17 09:41:20.2558 Trace Executed Controller: MainOrder, Action: EditOrderState
